ubicacion,fecha,hora,temperatura,tipo_de_clima,humedad,viento,fecha_hora,id_clima
parana,2023-11-01,00:00:00,9.9,Nublado,92.14,18.4,2023-11-01 00:00:00,1
parana,2023-11-01,01:00:00,9.9,Nublado,94.68,20.9,2023-11-01 01:00:00,1
parana,2023-11-01,02:00:00,9.4,Nublado,96.15,20.1,2023-11-01 02:00:00,1
parana,2023-11-01,03:00:00,9.7,Lluvia,96.11,11.7,2023-11-01 03:00:00,4
parana,2023-11-01,04:00:00,9.8,Nublado,96.7,20.1,2023-11-01 04:00:00,1
parana,2023-11-01,05:00:00,9.7,Nublado,97.8,18.6,2023-11-01 05:00:00,1
parana,2023-11-01,06:00:00,10.1,Nublado,97.22,20.3,2023-11-01 06:00:00,1
parana,2023-11-01,07:00:00,10.2,Nublado,95.11,20.1,2023-11-01 07:00:00,1
parana,2023-11-01,08:00:00,10.6,Nublado,83.95,21.6,2023-11-01 08:00:00,1
parana,2023-11-01,09:00:00,10.6,Lluvia,95.1,21.7,2023-11-01 09:00:00,4
parana,2023-11-01,10:00:00,10.9,Nublado,88.05,24.5,2023-11-01 10:00:00,1
parana,2023-11-01,11:00:00,11.3,Nublado,86.91,24.5,2023-11-01 11:00:00,1
parana,2023-11-01,12:00:00,11.5,Nublado,97.12,18.0,2023-11-01 12:00:00,1
parana,2023-11-01,13:00:00,11.4,Nublado,90.49,23.8,2023-11-01 13:00:00,1
parana,2023-11-01,14:00:00,12.4,Nublado,97.58,19.9,2023-11-01 14:00:00,1
parana,2023-11-01,15:00:00,12.6,Lluvia,98.16,18.2,2023-11-01 15:00:00,4
parana,2023-11-01,16:00:00,12.6,Nublado,98.36,17.0,2023-11-01 16:00:00,1
parana,2023-11-01,17:00:00,12.3,Nublado,93.0,26.3,2023-11-01 17:00:00,1
parana,2023-11-01,18:00:00,12.8,Nublado,95.57,22.9,2023-11-01 18:00:00,1
parana,2023-11-01,19:00:00,12.4,Nublado,93.0,28.1,2023-11-01 19:00:00,1
